,stimulus,rating,label,trial_index,ratingtype,elapsed
0,data/cven_00_02286_84473_617520.wav,0.5803783162300319,Feature 1,0,features,0.21481481481481482
1,data/cven_03_26059_84473_17388318.wav,0.6230631528014677,Feature 1,0,features,0.2246153846153846
2,data/cven_05_14026_84473_17255724.wav,0.9574386702885513,Feature 1,0,features,0.23185185185185184
3,data/cven_06_31405_84473_97708.wav,0.10222569874393961,Feature 1,0,features,0.3946902654867257
4,data/cven_00_02286_84473_617520.wav,0.8666726262685042,Feature 1,1,features,0.9203703703703703
5,data/cven_00_02286_84473_617520.wav,0.9816046752452661,Feature 2,1,features,0.9203703703703703
6,data/cven_00_02286_84473_617520.wav,0.1839019107867247,Feature 3,1,features,0.9203703703703703
7,data/cven_03_26059_84473_17388318.wav,0.030335441432877364,Feature 1,1,features,0.6846153846153846
8,data/cven_03_26059_84473_17388318.wav,0.710121468656714,Feature 2,1,features,0.6846153846153846
9,data/cven_03_26059_84473_17388318.wav,0.015445235979208438,Feature 3,1,features,0.6846153846153846
10,data/cven_05_14026_84473_17255724.wav,0.6424347482017799,Feature 1,1,features,0.6177777777777776
11,data/cven_05_14026_84473_17255724.wav,0.8553972968875367,Feature 2,1,features,0.6177777777777776
12,data/cven_05_14026_84473_17255724.wav,0.8302608464076425,Feature 3,1,features,0.6177777777777776
13,data/cven_06_31405_84473_97708.wav,0.9156014687167654,Feature 1,1,features,0.6707964601769912
14,data/cven_06_31405_84473_97708.wav,0.8864551408871013,Feature 2,1,features,0.6707964601769912
15,data/cven_06_31405_84473_97708.wav,0.8288817129579948,Feature 3,1,features,0.6707964601769912
16,data/cven_00_02286_84473_617520.wav,0.03631890033688889,Feature 1,2,features2d,0.2564814814814815
17,data/cven_00_02286_84473_617520.wav,0.5217651131909564,Feature 2,2,features2d,0.2564814814814815
18,data/cven_03_26059_84473_17388318.wav,0.5694705727097696,Feature 1,2,features2d,0.2907692307692308
19,data/cven_03_26059_84473_17388318.wav,0.09744539091327187,Feature 2,2,features2d,0.2907692307692308
20,data/cven_05_14026_84473_17255724.wav,0.6775501988992211,Feature 1,2,features2d,0.18444444444444444
21,data/cven_05_14026_84473_17255724.wav,0.709328856908832,Feature 2,2,features2d,0.18444444444444444
22,data/cven_06_31405_84473_97708.wav,0.7768097877252067,Feature 1,2,features2d,0.5946902654867257
23,data/cven_06_31405_84473_97708.wav,0.07389156788856621,Feature 2,2,features2d,0.5946902654867257
24,data/cven_07_27838_84473_566483.wav,0.4279644118663898,Feature 1,2,features2d,0.37551020408163266
25,data/cven_07_27838_84473_566483.wav,0.6210122681801491,Feature 2,2,features2d,0.37551020408163266
26,data/cven_08_19497_84473_17246733.wav,0.27271085186345734,Feature 1,2,features2d,0.2285714285714286
27,data/cven_08_19497_84473_17246733.wav,0.309063644163052,Feature 2,2,features2d,0.2285714285714286
28,data/cven_09_26764_84473_17637624.wav,0.6834700966172538,Feature 1,2,features2d,0.3514018691588785
29,data/cven_09_26764_84473_17637624.wav,0.46177898745321977,Feature 2,2,features2d,0.3514018691588785
30,data/cven_10_19680_84473_665433.wav,0.772064653933612,Feature 1,2,features2d,0.4465558194774347
31,data/cven_10_19680_84473_665433.wav,0.4211234130683258,Feature 2,2,features2d,0.4465558194774347
32,data/cven_17_17551_84473_512103.wav,0.5101688725492227,Feature 1,2,features2d,0.2579710144927536
33,data/cven_17_17551_84473_512103.wav,0.03594759556842342,Feature 2,2,features2d,0.2579710144927536
34,data/cven_00_02286_84473_617520.wav,Category 2,category,3,categories,0.27499999999999997
35,data/cven_03_26059_84473_17388318.wav,Category 2,category,3,categories,0.28846153846153844
36,data/cven_05_14026_84473_17255724.wav,Category 1,category,3,categories,0.37925925925925924
37,data/cven_06_31405_84473_97708.wav,Category 2,category,3,categories,0.12123893805309736
38,data/cven_07_27838_84473_566483.wav,Category 2,category,3,categories,0.20408163265306123
39,data/cven_08_19497_84473_17246733.wav,Category 1,category,3,categories,0.12023809523809526
40,data/cven_09_26764_84473_17637624.wav,Category 2,category,3,categories,0.24766355140186916
41,data/cven_10_19680_84473_665433.wav,Category 2,category,3,categories,0.2589073634204276
42,data/cven_17_17551_84473_512103.wav,Category 1,category,3,categories,0.20797101449275363
43,data/cven_00_02286_84473_617520.wav,cluster_2,cluster,4,cluster,0.5305555555555556
44,data/cven_03_26059_84473_17388318.wav,cluster_1,cluster,4,cluster,0.8799999999999999
45,data/cven_05_14026_84473_17255724.wav,cluster_2,cluster,4,cluster,0.8274074074074074
46,data/cven_06_31405_84473_97708.wav,cluster_1,cluster,4,cluster,2.3300884955752212
47,data/cven_07_27838_84473_566483.wav,cluster_1,cluster,4,cluster,0.8091836734693878
48,data/cven_08_19497_84473_17246733.wav,cluster_2,cluster,4,cluster,0.3863095238095238
49,data/cven_09_26764_84473_17637624.wav,cluster_2,cluster,4,cluster,1.0607476635514017
50,data/cven_10_19680_84473_665433.wav,cluster_1,cluster,4,cluster,0.9691211401425178
51,data/cven_17_17551_84473_512103.wav,cluster_1,cluster,4,cluster,0.47028985507246385
