,stim_0,stim_1,stim_2,selected,last_selected,trial_index,i_triplet
0,data/cven_00_02286_84473_617520.wav,data/cven_03_26059_84473_17388318.wav,data/cven_05_14026_84473_17255724.wav,0,3,6,0
1,data/cven_06_31405_84473_97708.wav,data/cven_03_26059_84473_17388318.wav,data/cven_05_14026_84473_17255724.wav,1,0,6,1
2,data/cven_06_31405_84473_97708.wav,data/cven_07_27838_84473_566483.wav,data/cven_05_14026_84473_17255724.wav,0,1,6,2
3,data/cven_08_19497_84473_17246733.wav,data/cven_07_27838_84473_566483.wav,data/cven_05_14026_84473_17255724.wav,1,0,6,3
4,data/cven_08_19497_84473_17246733.wav,data/cven_09_26764_84473_17637624.wav,data/cven_05_14026_84473_17255724.wav,2,1,6,4
5,data/cven_08_19497_84473_17246733.wav,data/cven_09_26764_84473_17637624.wav,data/cven_10_19680_84473_665433.wav,1,2,6,5
6,data/cven_08_19497_84473_17246733.wav,data/cven_17_17551_84473_512103.wav,data/cven_10_19680_84473_665433.wav,1,1,6,6
7,data/cven_00_02286_84473_617520.wav,data/cven_03_26059_84473_17388318.wav,data/cven_05_14026_84473_17255724.wav,0,3,7,0
8,data/cven_06_31405_84473_97708.wav,data/cven_03_26059_84473_17388318.wav,data/cven_05_14026_84473_17255724.wav,1,0,7,1
9,data/cven_06_31405_84473_97708.wav,data/cven_07_27838_84473_566483.wav,data/cven_05_14026_84473_17255724.wav,0,1,7,2
10,data/cven_08_19497_84473_17246733.wav,data/cven_07_27838_84473_566483.wav,data/cven_05_14026_84473_17255724.wav,1,0,7,3
11,data/cven_08_19497_84473_17246733.wav,data/cven_09_26764_84473_17637624.wav,data/cven_05_14026_84473_17255724.wav,2,1,7,4
12,data/cven_08_19497_84473_17246733.wav,data/cven_09_26764_84473_17637624.wav,data/cven_10_19680_84473_665433.wav,1,2,7,5
13,data/cven_08_19497_84473_17246733.wav,data/cven_17_17551_84473_512103.wav,data/cven_10_19680_84473_665433.wav,1,1,7,6
